driver_number,lap_number,lap_time_seconds,duration_sector_1,duration_sector_2,duration_sector_3,is_pit_out_lap,lap_time_formatted
24,17,124.491,32.616,51.965,39.91,false,2:04.490
11,16,160.241,46.221,67.617,46.403,false,2:40.241
63,17,93.695,27.518,39.513,26.664,false,1:33.694
31,16,152.72,42.071,61.363,49.286,false,2:32.719
18,14,404.407,,53.601,36.278,true,6:44.406
16,17,180.195,78.905,60.193,41.097,true,3:00.194
14,17,402.179,,52.22,40.044,true,6:42.178
44,14,93.54,27.474,39.575,26.491,false,1:33.540
23,10,95.385,27.927,40.557,26.901,false,1:35.385
40,19,115.746,33.068,46.406,36.272,false,1:55.745
10,18,114.924,32.69,44.663,37.571,false,1:54.924
63,18,129.085,35.958,51.647,41.48,false,2:09.085
55,16,93.428,27.391,39.516,26.521,false,1:33.427
44,15,123.328,33.228,47.084,43.016,false,2:03.328
18,15,94.751,27.497,40.211,27.043,false,1:34.751
14,18,94.239,27.599,39.993,26.647,false,1:34.239
23,11,151.504,40.299,63.583,47.622,false,2:31.503
11,17,93.725,27.493,39.583,26.649,false,1:33.724
31,17,94.066,27.543,39.766,26.757,false,1:34.066
16,18,93.455,27.187,39.854,26.414,false,1:33.454
55,17,115.923,31.538,45.489,38.896,false,1:55.923
20,14,431.56,,45.847,28.473,true,7:11.560
18,16,150.583,45.65,65.726,39.207,false,2:30.582
14,19,139.026,40.301,57.614,41.111,false,2:19.026
11,18,131.376,31.991,59.976,39.409,false,2:11.376
31,18,132.553,35.706,54.084,42.763,false,2:12.552
16,19,163.689,49.541,70.56,43.588,false,2:43.688
77,17,524.444,,48.003,31.393,true,8:44.443
23,12,154.905,60.842,59.816,34.247,true,2:34.905
20,15,99.416,28.963,42.139,28.314,false,1:39.415
1,14,495.238,,43.448,28.034,true,8:15.237
14,20,93.974,27.495,39.841,26.638,false,1:33.974
4,16,574.053,,43.021,27.568,true,9:34.052
18,17,125.947,39.004,53.918,33.025,false,2:05.947
77,18,94.802,27.767,40.079,26.956,false,1:34.802
2,16,568.627,,43.498,28.307,true,9:28.626
27,15,428.235,,46.89,28.357,true,7:08.235
16,20,118.684,27.07,46.154,45.46,false,1:58.683
24,18,431.273,,46.764,31.926,true,7:11.273
20,16,100.24,29.023,42.799,28.418,false,1:40.239
23,13,94.657,27.577,40.287,26.793,false,1:34.656
1,15,99.955,29.364,42.674,27.917,false,1:39.954
14,21,118.242,35.46,50.911,31.871,false,1:58.242
22,18,607.1,,44.081,28.448,true,10:07.100
77,19,131.829,37.002,57.747,37.08,false,2:11.829
40,20,423.335,,48.501,28.698,true,7:03.334
4,17,97.839,28.821,41.384,27.634,false,1:37.838
18,18,94.568,27.475,40.326,26.767,false,1:34.567
2,17,99.81,29.207,42.635,27.968,false,1:39.810
27,16,99.189,29.033,42.072,28.084,false,1:39.188
20,17,99.779,29.139,42.542,28.098,false,1:39.778
24,19,100.71,29.477,42.855,28.378,false,1:40.709
23,14,134.786,34.657,57.542,42.587,false,2:14.786
55,18,337.002,,43.616,27.993,true,5:37.002
1,16,99.44,29.135,42.512,27.793,false,1:39.439
63,19,486.029,,47.895,28.811,true,8:06.028
14,22,97.823,28.581,41.582,27.66,false,1:37.822
4,18,97.986,28.808,41.625,27.553,false,1:37.986
22,19,99.394,29.157,42.181,28.056,false,1:39.394
81,16,824.728,,43.224,28.016,true,13:44.727
18,19,112.59,31.768,47.07,33.752,false,1:52.590
40,21,100.098,29.383,42.567,28.148,false,1:40.097
77,20,96.741,28.141,40.812,27.788,false,1:36.740
2,18,100.054,29.349,42.519,28.186,false,1:40.054
27,17,100.133,29.032,42.762,28.339,false,1:40.132
20,18,99.585,29.098,42.422,28.065,false,1:39.584
24,20,100.774,29.424,42.882,28.468,false,1:40.774
44,16,514.116,,44.817,29.603,true,8:34.115
55,19,98.396,28.817,41.758,27.821,false,1:38.396
1,17,99.239,29.044,42.469,27.726,false,1:39.239
14,23,97.391,28.693,41.222,27.476,false,1:37.391
4,19,98.104,28.67,41.748,27.686,false,1:38.103
22,20,99.827,29.189,42.537,28.101,false,1:39.826
63,20,100.405,29.325,42.921,28.159,false,1:40.405
40,22,100.841,29.327,43.272,28.242,false,1:40.840
77,21,149.201,42.725,63.09,43.386,false,2:29.200
10,19,653.289,,50.423,28.287,true,10:53.288
18,20,98.745,28.598,42.71,27.437,false,1:38.745
2,19,101.414,29.457,43.855,28.102,false,1:41.414
81,17,100.269,29.021,43.254,27.994,false,1:40.269
27,18,100.157,29.175,42.868,28.114,false,1:40.156
31,19,440.865,,42.842,27.864,true,7:20.865
20,19,101.162,29.238,43.516,28.408,false,1:41.162
23,15,157.51,80.889,48.631,27.99,true,2:37.509
16,21,308.52,,47.121,28.799,true,5:08.519
24,21,107.155,29.472,48.688,28.995,false,1:47.155
55,20,102.986,28.872,42.178,31.936,false,1:42.986
1,18,108.517,29.119,48.339,31.059,false,1:48.516
44,17,100.43,29.309,43.123,27.998,false,1:40.430
14,24,99.244,28.339,43.478,27.427,false,1:39.243
4,20,100.733,28.734,44.26,27.739,false,1:40.733
22,21,100.832,29.027,43.712,28.093,false,1:40.831
63,21,100.345,29.256,42.961,28.128,false,1:40.344
11,19,557.391,,47.691,28.766,true,9:17.390
40,23,100.187,29.278,42.761,28.148,false,1:40.186
18,21,97.657,28.328,41.821,27.508,false,1:37.656
2,20,100.14,29.258,42.66,28.222,false,1:40.140
81,18,99.27,28.892,42.368,28.01,false,1:39.269
27,19,100.094,29.213,42.566,28.315,false,1:40.093
31,20,99.016,28.937,42.126,27.953,false,1:39.016
20,20,99.912,29.061,42.647,28.204,false,1:39.912
